method,uri,action,middleware,permissions,sensitive,controller_authorize_call,form_request_authorize,transition_guard_hint,transition_guard_signal,risk
DELETE,/api/v1/governance/policies/{id},"App\Http\Controllers\Api\V1\GovernanceController@deletePolicy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/policies/evaluate,"App\Http\Controllers\Api\V1\GovernanceController@evaluatePolicy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/workflows,"App\Http\Controllers\Api\V1\GovernanceController@listWorkflows",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/workflows/{id}/approve,"App\Http\Controllers\Api\V1\GovernanceController@approveWorkflow",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
POST,/api/v1/governance/workflows/{id}/reject,"App\Http\Controllers\Api\V1\GovernanceController@rejectWorkflow",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
GET,/api/v1/governance/audit-logs,"App\Http\Controllers\Api\V1\GovernanceController@auditLogs",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/governance/alert-rules,"App\Http\Controllers\Api\V1\GovernanceController@listAlertRules",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/alert-rules,"App\Http\Controllers\Api\V1\GovernanceController@storeAlertRule",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/alerts/me,"App\Http\Controllers\Api\V1\GovernanceController@myAlerts",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/alerts/mark-read,"App\Http\Controllers\Api\V1\GovernanceController@markAlertsRead",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/contracts,"App\Http\Controllers\Api\V1\ContractController@index",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/contracts,"App\Http\Controllers\Api\V1\ContractController@store",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/contracts/{contract},"App\Http\Controllers\Api\V1\ContractController@show",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/governance/contracts/{contract},"App\Http\Controllers\Api\V1\ContractController@update",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/governance/contracts/{contract},"App\Http\Controllers\Api\V1\ContractController@destroy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/contracts/{contract}/upload-document,"App\Http\Controllers\Api\V1\ContractController@uploadDocument",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/contracts/{contract}/send-for-signature,"App\Http\Controllers\Api\V1\ContractController@sendForSignature",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/contracts-expiring,"App\Http\Controllers\Api\V1\ContractController@expiringContracts",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/products/import,"App\Http\Controllers\Api\V1\ImportController@importProducts",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/vehicles/import,"App\Http\Controllers\Api\V1\ImportController@importVehicles",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/products/template,"App\Http\Controllers\Api\V1\ImportController@productsTemplate",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/governance/vehicles/template,"App\Http\Controllers\Api\V1\ImportController@vehiclesTemplate",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/governance/fuel,"App\Http\Controllers\Api\V1\FuelController@index",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/fuel,"App\Http\Controllers\Api\V1\FuelController@store",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update|idempotent,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/governance/fuel/{id},"App\Http\Controllers\Api\V1\FuelController@destroy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/fuel/stats,"App\Http\Controllers\Api\V1\FuelController@stats",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/governance/vehicles/{id}/settings,"App\Http\Controllers\Api\V1\FuelController@getSettings",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/governance/vehicles/{id}/settings,"App\Http\Controllers\Api\V1\FuelController@saveSettings",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/vehicles/{id}/documents,"App\Http\Controllers\Api\V1\FuelController@getDocuments",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/vehicles/{id}/documents,"App\Http\Controllers\Api\V1\FuelController@uploadDocument",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/governance/vehicles/{vehicleId}/documents/{docId},"App\Http\Controllers\Api\V1\FuelController@deleteDocument",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/employees/import,"App\Http\Controllers\Api\V1\ImportController@importEmployees",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/ocr/plate,"App\Http\Controllers\Api\V1\OcrController@scanPlate",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/ocr/invoice,"App\Http\Controllers\Api\V1\OcrController@scanInvoice",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/leaves,"App\Http\Controllers\Api\V1\LeaveController@index",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/leaves,"App\Http\Controllers\Api\V1\LeaveController@store",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/leaves/{id}/approve,"App\Http\Controllers\Api\V1\LeaveController@approve",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
POST,/api/v1/governance/leaves/{id}/reject,"App\Http\Controllers\Api\V1\LeaveController@reject",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
DELETE,/api/v1/governance/leaves/{id},"App\Http\Controllers\Api\V1\LeaveController@destroy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/salaries,"App\Http\Controllers\Api\V1\SalaryController@index",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/salaries,"App\Http\Controllers\Api\V1\SalaryController@store",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/governance/salaries/{id}/approve,"App\Http\Controllers\Api\V1\SalaryController@approve",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
